"date","branch","observation_type","portfolio_kbob","disbursements_kbob","overdue_kbob","clients","mora_rate","source_sheet","portfolio_growth_mom","clients_growth_mom","avg_balance_bob","disbursement_per_client_bob","clients_per_million_bob","total_portfolio","total_clients","portfolio_share","clients_share"
2012-03-01,"16 de Julio","observed",109.8333994,109.8333297,0,18,0,"PP.16julio",,,6101.85552222222,6101.85165,163.884575168671,109.8333994,18,1,1
2012-04-01,"16 de Julio","observed",500.3463987,398.7431056,0,79,0,"PP.16julio",3.5555031660069,3.38888888888889,6333.49871772152,5047.3810835443,157.89061379328,500.3463987,79,1,1
2012-05-01,"16 de Julio","observed",1245.8639414,769.8495339,0,176,0,"PP.16julio",1.49000281532355,1.22784810126582,7078.77239431818,4374.14507897727,141.26743230262,1380.0821646,188,0.902746208419481,0.936170212765957
2012-06-01,"16 de Julio","observed",2555.05,1396.8,0,275,0,"PP.16julio",1.05082586877733,0.5625,9291.09090909091,5079.27272727273,107.629987671474,3616.65,337,0.706468693404117,0.816023738872404
2012-07-01,"16 de Julio","observed",4036.67,1615,0,381,0,"PP.16julio",0.579879063032035,0.385454545454545,10594.9343832021,4238.84514435696,94.3847280060049,6089.38,496,0.662903284078182,0.768145161290323
2012-08-01,"16 de Julio","observed",6237.23,2459.4,0,500,0,"PP.16julio",0.545142406983974,0.312335958005249,12474.46,4918.8,80.1637906570705,10114.16,722,0.616682947471663,0.692520775623269
2012-09-01,"16 de Julio","observed",8036.08,2151.6,0,634,0,"PP.16julio",0.288405269646943,0.268,12675.2050473186,3393.69085173502,78.8941872156574,14038.5,999,0.572431527584856,0.634634634634635
2012-10-01,"16 de Julio","observed",10302.53,2856.8,5.55,790,0.000538702629354149,"PP.16julio",0.282034275417866,0.246056782334385,13041.1772151899,3616.20253164557,76.6801940882482,18614.42,1318,0.553470374043349,0.599393019726859
2012-11-01,"16 de Julio","observed",12085.33,2408.3,-5.55,899,-0.000459234460291941,"PP.16julio",0.173044873443707,0.137974683544304,13443.0812013348,2678.86540600667,74.3877080725144,22189.75,1577,0.54463569891504,0.57006975269499
2012-12-01,"16 de Julio","observed",13441.7,2095.7,10.37,982,0.000771479797942224,"PP.16julio",0.11223276484796,0.0923248053392658,13688.0855397149,2134.11405295316,73.0562354464093,25579.33,1765,0.52549069893543,0.556373937677054
2013-01-01,"16 de Julio","observed",14620.19,2170.2,3.62,1059,0.000247602801331583,"PP.16julio",0.0876741781173511,0.0784114052953158,13805.656279509,2049.29178470255,72.4340791740737,28607.98,1946,0.511052860076105,0.544193216855087
2013-02-01,"16 de Julio","observed",15548.97,1824.8,40.72,1140,0.00261882298313007,"PP.16julio",0.063527218182527,0.0764872521246458,13639.4473684211,1600.70175438596,73.3167534569814,31084.83,2113,0.50021087456486,0.539517274017984
2013-03-01,"16 de Julio","observed",16444.13,2080.2,41.04,1220,0.00249572339795416,"PP.16julio",0.0575703728285539,0.0701754385964912,13478.7950819672,1705.08196721311,74.1906078339201,33965.7,2320,0.4841392934637,0.525862068965517
2013-04-01,"16 de Julio","observed",18079.5,2964.7,70.61,1331,0.00390552836085069,"PP.16julio",0.0994500773224245,0.090983606557377,13583.3959429001,2227.42299023291,73.6192925689317,37836.39,2536,0.477833641105824,0.524842271293375
2013-05-01,"16 de Julio","observed",19145.88,2400.6,58.12,1406,0.00303564004370653,"PP.16julio",0.0589828258524849,0.0563486100676183,13617.2688477952,1707.39687055477,73.4361648563555,40240.87,2712,0.475781959982476,0.518436578171091
2013-06-01,"16 de Julio","observed",19630.58,2084.8,-10.68,1450,-0.000544049131508086,"PP.16julio",0.0253161515689015,0.0312944523470839,13538.3310344828,1437.79310344828,73.8643483789068,41522.68,2837,0.472767653725627,0.51110327811068
2013-07-01,"16 de Julio","observed",20415.83,2528.5,18.66,1492,0.000913996638882671,"PP.16julio",0.0400013652169218,0.0289655172413794,13683.5321715818,1694.70509383378,73.0805458313475,43988.48,2983,0.464117650803119,0.500167616493463
2013-08-01,"16 de Julio","observed",21161.62,2736.28,-12.49,1526,-0.000590219463349214,"PP.16julio",0.0365299867798663,0.0227882037533511,13867.378768021,1793.10615989515,72.1116814308167,45462.35,3087,0.46547571781925,0.494331065759637
2013-09-01,"16 de Julio","observed",22062.39,2859.75,-54.66,1570,-0.0024775194346578,"PP.16julio",0.0425662118495653,0.0288335517693317,14052.4777070064,1821.49681528662,71.1618278890002,47649.65,3204,0.463012634930162,0.490012484394507
2013-10-01,"16 de Julio","observed",23705.26,3771.6,41.52,1617,0.0017515100024214,"PP.16julio",0.0744647338751603,0.0299363057324842,14660.0247371676,2332.46753246753,68.2127089093307,51386.04,3334,0.461317120369657,0.48500299940012
2013-11-01,"16 de Julio","observed",25492.5,3948.3,-52.19,1638,-0.00204726880455036,"PP.16julio",0.075394237397101,0.0129870129870129,15563.1868131868,2410.43956043956,64.2541924095322,54594.6,3417,0.466941785451308,0.479367866549605
2013-12-01,"16 de Julio","observed",26577.75,3243.1,1.63,1641,6.13294955366801e-05,"PP.16julio",0.0425713445130922,0.00183150183150182,16196.0694698355,1976.29494210847,61.7433755679092,57157.46,3483,0.464991796346444,0.47114556416882
2014-01-01,"16 de Julio","observed",27343.68,3081.5,-2.53,1649,-9.25259511521492e-05,"PP.16julio",0.0288184665744844,0.00487507617306515,16581.9769557307,1868.70830806549,60.3064400987724,58938.72,3557,0.463934065755076,0.463592915378128
2014-02-01,"16 de Julio","observed",27789.31,2849,128.02,1657,0.00460680743782411,"PP.16julio",0.0162973674355464,0.00485142510612491,16770.8569704285,1719.37235968618,59.6272451529023,60410.07,3636,0.460011219983688,0.455720572057206
2014-03-01,"16 de Julio","observed",28231.32,2688.8,74.3,1663,0.00263182876323176,"PP.16julio",0.015905756566104,0.00362100181050096,16976.1395069152,1616.83704149128,58.9062077154026,61583.46,3674,0.458423739101376,0.45264017419706
2014-04-01,"16 de Julio","observed",29147.17,3633.1,91.75,1659,0.00314781846745327,"PP.16julio",0.0324409202261884,-0.00240529164161152,17569.1199517782,2189.93369499699,56.9180472752586,63307.4,3700,0.460406998234014,0.448378378378378
2014-05-01,"16 de Julio","observed",29805.28,3197.8,136.45,1666,0.00457804791634234,"PP.16julio",0.0225788644317784,0.00421940928270037,17890.3241296519,1919.44777911164,55.8961365234616,65258.72,3748,0.456724863742347,0.444503735325507
2014-06-01,"16 de Julio","observed",30645.83,3221.2,169.94,1667,0.00554528952226127,"PP.16julio",0.0282013790845113,0.000600240096038318,18383.8212357529,1932.33353329334,54.3956551348095,67776.74,3771,0.452158513377893,0.442057809599576
2014-07-01,"16 de Julio","observed",31240.99,3262.5,311.13,1685,0.00995903138792977,"PP.16julio",0.0194205867486703,0.0107978404319136,18540.646884273,1936.20178041543,53.9355506979772,69850.17,3827,0.447257179187968,0.440292657434021
2012-05-01,"Ceja","observed",134.2182232,134.2182232,0,12,0,"PP.ceja",,,11184.8519333333,11184.8519333333,89.4066372948379,1380.0821646,188,0.0972537915805191,0.0638297872340425
2012-06-01,"Ceja","observed",1061.6,929.5,0,62,0,"PP.ceja",6.90950717934999,4.16666666666667,17122.5806451613,14991.935483871,58.4024114544084,3616.65,337,0.293531306595883,0.183976261127596
2012-07-01,"Ceja","observed",2052.71,1017.2,0,115,0,"PP.ceja",0.933600226073851,0.854838709677419,17849.652173913,8845.21739130435,56.0235006406165,6089.38,496,0.337096715921818,0.231854838709677
2012-08-01,"Ceja","observed",3876.93,1894,0,222,0,"PP.ceja",0.888688611640222,0.930434782608696,17463.6486486487,8531.53153153153,57.261802508686,10114.16,722,0.383317052528336,0.307479224376731
2012-09-01,"Ceja","observed",6002.42,2289,0,365,0,"PP.ceja",0.548240489253095,0.644144144144144,16444.9863013699,6271.23287671233,60.8088071144638,14038.5,999,0.427568472415144,0.365365365365365
2012-10-01,"Ceja","observed",8311.89,2585.8,0,528,0,"PP.ceja",0.38475648155244,0.446575342465753,15742.2159090909,4897.34848484848,63.5234585635758,18614.42,1318,0.446529625956651,0.400606980273141
2012-11-01,"Ceja","observed",10104.42,2257.4,0,678,0,"PP.ceja",0.215658532535921,0.284090909090909,14903.2743362832,3329.49852507375,67.099348601899,22189.75,1577,0.45536430108496,0.42993024730501
2012-12-01,"Ceja","observed",12137.63,2636.9,0,783,0,"PP.ceja",0.201219862198919,0.154867256637168,15501.4431673052,3367.68837803321,64.5101226516214,25579.33,1765,0.47450930106457,0.443626062322946
2013-01-01,"Ceja","observed",13987.79,2650.2,0,887,0,"PP.ceja",0.152431735025701,0.132822477650064,15769.7745208568,2987.82412626832,63.4124475703453,28607.98,1946,0.488947139923895,0.455806783144913
2013-02-01,"Ceja","observed",15535.86,2574.8,4.26,973,0.000274204324704265,"PP.ceja",0.110672951195292,0.0969560315670801,15966.9681397739,2646.24871531346,62.629297637852,31084.83,2113,0.49978912543514,0.460482725982016
2013-03-01,"Ceja","observed",17521.57,3248.9,0,1100,0,"PP.ceja",0.127814617278992,0.130524152106886,15928.7,2953.54545454545,62.7797623158199,33965.7,2320,0.5158607065363,0.474137931034483
2013-04-01,"Ceja","observed",19756.89,3864.6,3.48,1205,0.000176141082933599,"PP.ceja",0.12757532572709,0.0954545454545455,16395.7593360996,3207.13692946058,60.9913807284446,37836.39,2536,0.522166358894176,0.475157728706625
2013-05-01,"Ceja","observed",21094.99,2794.6,42.28,1306,0.00200426736395703,"PP.ceja",0.0677282709981177,0.083817427385892,16152.3660030628,2139.81623277182,61.9104346577078,40240.87,2712,0.524218040017524,0.481563421828909
2013-06-01,"Ceja","observed",21892.1,2372,29.31,1387,0.00133883912461573,"PP.ceja",0.0377866972205247,0.0620214395099541,15783.7779379957,1710.16582552271,63.3561878485847,41522.68,2837,0.527232346274373,0.48889672188932
2013-07-01,"Ceja","observed",23572.65,3440.3,38.18,1491,0.00161967364721404,"PP.ceja",0.0767651344548947,0.0749819754866619,15809.9597585513,2307.37759892689,63.2512678888458,43988.48,2983,0.535882349196881,0.499832383506537
2013-08-01,"Ceja","observed",24300.73,2701.2,-16.22,1561,-0.000667469660376458,"PP.ceja",0.0308866419346148,0.0469483568075117,15567.4119154388,1730.42921204356,64.2367533814828,45462.35,3087,0.53452428218075,0.505668934240363
2013-09-01,"Ceja","observed",25587.26,3373.2,8.34,1634,0.00032594345779892,"PP.ceja",0.0529420309595636,0.0467648942985266,15659.2778457772,2064.38188494492,63.8599052809875,47649.65,3204,0.536987365069838,0.509987515605493
2013-10-01,"Ceja","observed",27680.78,4429,25.51,1717,0.000921578076918353,"PP.ceja",0.0818188426584168,0.0507955936352509,16121.5958066395,2579.49912638323,62.0285989050887,51386.04,3334,0.538682879630343,0.51499700059988
2013-11-01,"Ceja","observed",29102.1,3889.3,18.26,1779,0.000627446129317128,"PP.ceja",0.0513468189841471,0.0361094933022714,16358.6846543002,2186.22821810006,61.1296092034595,54594.6,3417,0.533058214548692,0.520632133450395
2013-12-01,"Ceja","observed",30579.71,3974.8,18.03,1842,0.000589606637865434,"PP.ceja",0.0507733118915816,0.0354131534569984,16601.3626492942,2157.87187839305,60.2360192428247,57157.46,3483,0.535008203653556,0.52885443583118
2014-01-01,"Ceja","observed",31595.04,3832.6,40.98,1908,0.00129703902891087,"PP.ceja",0.0332027347545154,0.0358306188925082,16559.2452830189,2008.70020964361,60.3892256506084,58938.72,3557,0.536065934244924,0.536407084621872
2014-02-01,"Ceja","observed",32620.76,3914.4,2.96,1979,9.07397620411051e-05,"PP.ceja",0.032464589378586,0.0372117400419287,16483.4562910561,1977.96867104598,60.6668882024821,60410.07,3636,0.539988780016312,0.544279427942794
2014-03-01,"Ceja","observed",33352.14,3552.1,-46.17,2011,-0.00138431896723868,"PP.ceja",0.0224206916086567,0.0161697827185447,16584.8533068125,1766.33515663849,60.2959810075156,61583.46,3674,0.541576260898624,0.54735982580294
2014-04-01,"Ceja","observed",34160.23,3955.2,-70.74,2041,-0.00207082914839859,"PP.ceja",0.0242290299812846,0.0149179512680258,16737.0063694268,1937.87359137678,59.7478412762443,63307.4,3700,0.539593001765986,0.551621621621622
2014-05-01,"Ceja","observed",35453.44,4113.1,-86.83,2082,-0.00244912764459528,"PP.ceja",0.037857180703994,0.0200881920627143,17028.5494716619,1975.55235350624,58.724907935591,65258.72,3748,0.543275136257653,0.555496264674493
2014-06-01,"Ceja","observed",37130.91,4065.5,-22.72,2104,-0.000611889124182521,"PP.ceja",0.0473147316593256,0.0105667627281461,17647.7709125475,1932.27186311787,56.6643801619729,67776.74,3771,0.547841486622107,0.557942190400424
