"date","branch","model","forecast_kbob","lo80_kbob","hi80_kbob","business_projection_kbob","projected_disbursements_kbob","projected_mora_rate","projection_gap_kbob","projection_gap_pct","planning_signal"
2014-08-01,"16 de Julio","ARIMA",31856.1860395924,31168.9688731121,32543.4032060727,31842.59,2829.93511385209,-2.87902445917218e-09,-13.5960395924012,-0.000426794330479593,"Aligned planning band"
2014-09-01,"16 de Julio","ARIMA",32667.2365251785,31319.5185395747,34014.9545107823,33531.2921621622,2988.37176511219,6.77361517478002e-12,864.055636983667,0.0264502213499967,"Aligned planning band"
2014-10-01,"16 de Julio","ARIMA",34248.468213257,32244.0465945181,36252.8898319959,35164.2454954955,4132.57153574381,1.1313113073052e-14,915.777282238516,0.0267392187158909,"Aligned planning band"
2014-11-01,"16 de Julio","ARIMA",35993.362002164,33360.8788795832,38625.8451247447,36799.9182838936,4660.56692966279,-2.21315303640803e-17,806.556281729674,0.0224084730312546,"Aligned planning band"
2014-12-01,"16 de Julio","ARIMA",37049.5196805537,33826.4504306398,40272.5889304677,38809.3037407791,3555.80677141963,-1.28703939730135e-21,1759.78406022538,0.0474981612554896,"Aligned planning band"
2015-01-01,"16 de Julio","ARIMA",37795.4629295593,34020.7287654733,41570.1970936452,40798.4885128815,3108.64532728799,1.13278418469103e-25,3003.02558332217,0.0794546580609162,"Aligned planning band"
2015-02-01,"16 de Julio","ARIMA",38227.3618076273,33938.0470707986,42516.6765444561,42788.7092175368,2655.07812946942,4.97579093539098e-28,4561.34740990947,0.11932153290786,"Aligned planning band"
2015-03-01,"16 de Julio","ARIMA",38659.9383729704,33889.9770223209,43429.8997236199,44778.8793888969,3125.65589073691,1.25134112624654e-30,6118.94101592645,0.158276015778768,"Aligned planning band"
2015-04-01,"16 de Julio","ARIMA",39569.3074976372,34349.1222496305,44789.4927456438,47223.9484870418,3873.14802104071,3.73504915444612e-33,7654.64098940465,0.193448950044469,"Aligned planning band"
2015-05-01,"16 de Julio","ARIMA",40222.9650636497,34579.556020861,45866.3741064385,49644.4284540092,3488.00407887563,1.62655381616947e-35,9421.46339035949,0.234230951782166,"Aligned planning band"
2015-06-01,"16 de Julio","ARIMA",41060.4561916003,35017.6848314626,47103.227551738,52066.1694020627,3821.72078304635,8.6001801932238e-38,11005.7132104623,0.268036798205709,"Aligned planning band"
2015-07-01,"16 de Julio","ARIMA",41653.5147122205,35232.454982109,48074.574442332,54487.8488388436,3986.36523966159,8.18428259174307e-40,12834.3341266231,0.308121276566794,"Aligned planning band"
2015-08-01,"16 de Julio","ARIMA",42267.2670119269,35235.5446001995,49298.9894236543,57463.0585189615,4935.72952417028,-4.58041752802638e-43,15195.7915070346,0.359516774594076,"Aligned planning band"
2015-09-01,"16 de Julio","ARIMA",43077.3256320308,35291.1566999136,50863.494564148,60408.3476453854,5392.80823623498,1.07947830695294e-45,17331.0220133546,0.402323537013354,"Aligned planning band"
2015-10-01,"16 de Julio","ARIMA",44657.8758974068,36049.4930553929,53266.2587394208,63355.1711591783,7445.04019688035,1.80277459421302e-48,18697.2952617715,0.418678561979192,"Aligned planning band"
2015-11-01,"16 de Julio","ARIMA",46402.3015412803,36953.0045825751,55851.5984999855,66301.9198248069,8396.91030951925,-3.52673040961852e-51,19899.6182835266,0.42884981180995,"Aligned planning band"
2015-12-01,"16 de Julio","ARIMA",47458.1375987853,37176.870929332,57739.4042682387,69922.2153196171,6406.44942883894,-2.05093822526323e-55,22464.0777208318,0.473345117559074,"Aligned planning band"
2016-01-01,"16 de Julio","ARIMA",48203.8598906386,37113.654555895,59294.0652253821,73506.1028777147,5600.80565677752,1.80512765242015e-59,25302.2429870762,0.524900766131179,"Aggressive plan versus statistical forecast"
2014-08-01,"Ceja","ETS",39921.7053824188,39210.8308449881,40632.5799198494,39210.78,3497.37553768418,-2.33802019376792e-09,-710.925382418769,-0.0178079913072014,"Aligned planning band"
2014-09-01,"Ceja","ETS",41234.2511127074,40132.6089207019,42335.8933047129,41297.7627027027,3679.86359903593,5.49976692574534e-12,63.5115899953089,0.00154026296783492,"Aligned planning band"
2014-10-01,"Ceja","ETS",42546.796842996,41077.3990033622,44016.1946826298,43308.5719334719,5089.75191918422,9.18564311079576e-15,761.775090475916,0.017904405196165,"Aligned planning band"
2014-11-01,"Ceja","ETS",43859.3425732846,42021.9269606526,45696.7581859167,45323.0969433599,5739.99229273715,-1.79696129307639e-17,1463.75437007523,0.033373832898417,"Aligned planning band"
2014-12-01,"Ceja","ETS",45171.8883035733,42958.5821936301,47385.1944135164,47797.8724824154,4379.36230644955,-1.04500682356925e-21,2625.98417884214,0.0581331504495555,"Aligned planning band"
2015-01-01,"Ceja","ETS",46484.4340338619,43884.1987619569,49084.6693057669,50247.7696144889,3828.63433828213,9.19759879916428e-26,3763.33558062701,0.0809590491708597,"Aligned planning band"
2015-02-01,"Ceja","ETS",47796.9797641505,44797.3456560932,50796.6138722078,52698.9425623051,3270.01707712591,4.04007483091303e-28,4901.96279815456,0.102558003086028,"Aligned planning band"
2015-03-01,"Ceja","ETS",49109.5254944391,45697.3886382987,52521.6623505796,55150.053275207,3849.58469810456,1.01602174501888e-30,6040.52778076784,0.123001143259913,"Aligned planning band"
2015-04-01,"Ceja","ETS",50422.0712247278,46584.0961143958,54260.0463350597,58161.4214216244,4770.20243959302,3.03265918464216e-33,7739.35019689664,0.153491318561724,"Aligned planning band"
2015-05-01,"Ceja","ETS",51734.6169550164,47457.4520178714,56011.7818921614,61142.5053824464,4295.85584541913,1.32067428458048e-35,9407.88842743001,0.181849001329424,"Aligned planning band"
2015-06-01,"Ceja","ETS",53047.162685305,48317.5592314294,57776.7661391806,64125.1423784272,4706.86421063526,6.98288412657458e-38,11077.9796931221,0.208832652536776,"Aligned planning band"
2015-07-01,"Ceja","ETS",54359.7084155937,49164.5866854057,59554.8301457816,67107.7036165953,4909.64174052692,6.64519762531401e-40,12747.9952010016,0.234511839238356,"Aligned planning band"
2015-08-01,"Ceja","ETS",55672.2541458823,49998.7391127609,61345.7691790037,70771.9974667911,6078.88696467628,-3.71905287225732e-43,15099.7433209088,0.271225650057959,"Aligned planning band"
2015-09-01,"Ceja","ETS",56984.7998761709,50820.2392268223,63149.3605255195,74399.440905526,6641.82904061352,8.76478371993003e-46,17414.6410293551,0.305601512459418,"Aligned planning band"
2015-10-01,"Ceja","ETS",58297.3456064595,51629.3170112423,64965.3742016767,78028.7741089512,9169.37558727247,1.46375608590628e-48,19731.4285024916,0.338461868155886,"Aligned planning band"
2015-11-01,"Ceja","ETS",59609.8913367482,52426.2032225341,66793.5794509622,81658.0151287329,10341.7070109151,-2.86351555929454e-51,22048.1237919848,0.369873577984407,"Aligned planning band"
2015-12-01,"Ceja","ETS",60922.4370670368,53211.1254551039,68633.7486789697,86116.802220673,7890.23825801587,-1.66525161752538e-55,25194.3651536362,0.41354821583899,"Aligned planning band"
2016-01-01,"Ceja","ETS",62234.9827973254,53984.3057973113,70485.6597973395,90530.7489843883,6898.00045402477,1.46566664271257e-59,28295.7661870629,0.454660143141855,"Aligned planning band"
2014-08-01,"Global","ARIMA",71874.4981434848,70957.1280793555,72791.8682076142,71027.77,10312.7557866714,-1.29070074216594e-09,-846.728143484841,-0.0117806477311952,"Aligned planning band"
2014-09-01,"Global","ARIMA",74040.7778746651,72309.840503342,75771.7152459881,78788.9,13950.7323357914,2.88274197786241e-12,4748.12212533494,0.0641284743573666,"Aligned planning band"
2014-10-01,"Global","ARIMA",76051.9297467682,73300.7310915046,78803.1284020319,89716.2492307692,12718.2031664688,4.43416982798544e-15,13664.319484001,0.179670910777667,"Aligned planning band"
2014-11-01,"Global","ARIMA",78397.8184603268,74452.5771815897,82343.0597390639,96567.4579264214,16732.5603296342,-8.43388162414113e-18,18169.6394660946,0.231762054390446,"Aligned planning band"
2014-12-01,"Global","ARIMA",80743.7071738854,75889.7640907645,85597.6502570063,106535.930063174,18967.5385088194,-4.68847485224923e-22,25792.2228892881,0.319433226341012,"Aligned planning band"
2015-01-01,"Global","ARIMA",83089.595887444,77472.0699052251,88707.1218696629,121392.462051854,12334.196058044,3.80714599288292e-26,38302.8661644097,0.460982698920526,"Aligned planning band"
2015-02-01,"Global","ARIMA",85435.4846010026,79146.4121043914,91724.5570976137,130656.455970391,15466.4288970596,1.62952278079508e-28,45220.971369388,0.529299641484767,"Aggressive plan versus statistical forecast"
