"date","portfolio_hhi","clients_hhi","portfolio_balance_score","clients_balance_score","total_portfolio_kbob","total_clients"
2012-03-01,1,1,0,0,109.8333994,18
2012-04-01,1,1,0,0,500.3463987,79
2012-05-01,0.824409016792536,0.880488909008601,0.351181966414928,0.239022181982798,1380.0821646,188
2012-06-01,0.585258642712007,0.699742007061786,0.829482714575987,0.600515985876428,3616.65,337
2012-07-01,0.553074959926914,0.643803655046826,0.893850080146173,0.712392689906348,6089.38,496
2012-08-01,0.52722982046135,0.57412849809317,0.9455403590773,0.85174300381366,10114.16,722
2012-09-01,0.510492652376552,0.536252969686403,0.979014695246897,0.927494060627194,14038.5,999
2012-10-01,0.505718161800672,0.519757944740847,0.988563676398657,0.960484110518305,18614.42,1318
2012-11-01,0.503984691235268,0.509819540485474,0.992030617529464,0.980360919029051,22189.75,1577
2012-12-01,0.501299551464433,0.506356041698433,0.997400897071133,0.987287916603135,25579.33,1765
2013-01-01,0.500244331431724,0.503906080832002,0.999511337136552,0.992187838335997,28607.98,1946
2013-02-01,0.500000088936164,0.503123229891625,0.999999822127672,0.99375354021675,31084.83,2113
2013-03-01,0.500503124023661,0.501337693222354,0.998993751952677,0.997324613555291,33965.7,2320
2013-04-01,0.500982694933251,0.501234276886027,0.998034610133498,0.997531446227945,37836.39,2536
2013-05-01,0.501173026924581,0.500679814829318,0.997653946150838,0.998640370341365,40240.87,2712
2013-06-01,0.501483201367215,0.500246565569606,0.99703359726557,0.999506868860788,41522.68,2837
2013-07-01,0.502575085967774,0.500000056190578,0.994849828064452,0.999999887618845,43988.48,2983
2013-08-01,0.502383852120192,0.500064273630843,0.995232295759616,0.999871452738314,45462.35,3087
2013-09-01,0.502736130349619,0.50019950093594,0.994527739300762,0.99960099812812,47649.65,3204
2013-10-01,0.502992730352991,0.500449820053986,0.994014539294017,0.999100359892029,51386.04,3334
2013-11-01,0.502185691098295,0.50085136986143,0.995628617803411,0.99829726027714,54594.6,3417
2013-12-01,0.502451148646098,0.501665156934271,0.995097702707805,0.996669686131457,57157.46,3483
2014-01-01,0.502601503225918,0.502650951621328,0.994796993548163,0.994698096757343,58938.72,3557
2014-02-01,0.503198205054386,0.503921335477882,0.993603589891228,0.992157329044236,60410.07,3636
2014-03-01,0.503457170940621,0.50448590620017,0.993085658118758,0.991028187599661,61583.46,3674
2014-04-01,0.503135211577683,0.505329583637692,0.993729576844634,0.989340832724616,63307.4,3700
2014-05-01,0.503745474836237,0.506159670785643,0.992509050327526,0.987680658428714,65258.72,3748
2014-06-01,0.504577615684426,0.506714594856798,0.990844768631147,0.986570810286404,67776.74,3771
2014-07-01,0.50556361029442,0.507129933512582,0.988872779411159,0.985740132974836,69850.17,3827
