"date_key","date","year","quarter","month","month_label","is_forecast_period"
"20120301","2012-03-01","2012","1","3","Mar 2012","False"
"20120401","2012-04-01","2012","2","4","Apr 2012","False"
"20120501","2012-05-01","2012","2","5","May 2012","False"
"20120601","2012-06-01","2012","2","6","Jun 2012","False"
"20120701","2012-07-01","2012","3","7","Jul 2012","False"
"20120801","2012-08-01","2012","3","8","Aug 2012","False"
"20120901","2012-09-01","2012","3","9","Sep 2012","False"
"20121001","2012-10-01","2012","4","10","Oct 2012","False"
"20121101","2012-11-01","2012","4","11","Nov 2012","False"
"20121201","2012-12-01","2012","4","12","Dec 2012","False"
"20130101","2013-01-01","2013","1","1","Jan 2013","False"
"20130201","2013-02-01","2013","1","2","Feb 2013","False"
"20130301","2013-03-01","2013","1","3","Mar 2013","False"
"20130401","2013-04-01","2013","2","4","Apr 2013","False"
"20130501","2013-05-01","2013","2","5","May 2013","False"
"20130601","2013-06-01","2013","2","6","Jun 2013","False"
"20130701","2013-07-01","2013","3","7","Jul 2013","False"
"20130801","2013-08-01","2013","3","8","Aug 2013","False"
"20130901","2013-09-01","2013","3","9","Sep 2013","False"
"20131001","2013-10-01","2013","4","10","Oct 2013","False"
"20131101","2013-11-01","2013","4","11","Nov 2013","False"
"20131201","2013-12-01","2013","4","12","Dec 2013","False"
"20140101","2014-01-01","2014","1","1","Jan 2014","False"
"20140201","2014-02-01","2014","1","2","Feb 2014","False"
"20140301","2014-03-01","2014","1","3","Mar 2014","False"
"20140401","2014-04-01","2014","2","4","Apr 2014","False"
"20140501","2014-05-01","2014","2","5","May 2014","False"
"20140601","2014-06-01","2014","2","6","Jun 2014","False"
"20140701","2014-07-01","2014","3","7","Jul 2014","False"
"20140801","2014-08-01","2014","3","8","Aug 2014","True"
"20140901","2014-09-01","2014","3","9","Sep 2014","True"
"20141001","2014-10-01","2014","4","10","Oct 2014","True"
"20141101","2014-11-01","2014","4","11","Nov 2014","True"
"20141201","2014-12-01","2014","4","12","Dec 2014","True"
"20150101","2015-01-01","2015","1","1","Jan 2015","True"
"20150201","2015-02-01","2015","1","2","Feb 2015","True"
"20150301","2015-03-01","2015","1","3","Mar 2015","True"
"20150401","2015-04-01","2015","2","4","Apr 2015","True"
"20150501","2015-05-01","2015","2","5","May 2015","True"
"20150601","2015-06-01","2015","2","6","Jun 2015","True"
"20150701","2015-07-01","2015","3","7","Jul 2015","True"
"20150801","2015-08-01","2015","3","8","Aug 2015","True"
"20150901","2015-09-01","2015","3","9","Sep 2015","True"
"20151001","2015-10-01","2015","4","10","Oct 2015","True"
"20151101","2015-11-01","2015","4","11","Nov 2015","True"
"20151201","2015-12-01","2015","4","12","Dec 2015","True"
"20160101","2016-01-01","2016","1","1","Jan 2016","True"
"20160201","2016-02-01","2016","1","2","Feb 2016","True"
"20160301","2016-03-01","2016","1","3","Mar 2016","True"
"20160401","2016-04-01","2016","2","4","Apr 2016","True"
"20160501","2016-05-01","2016","2","5","May 2016","True"
"20160601","2016-06-01","2016","2","6","Jun 2016","True"
"20160701","2016-07-01","2016","3","7","Jul 2016","True"
"20160801","2016-08-01","2016","3","8","Aug 2016","True"
"20160901","2016-09-01","2016","3","9","Sep 2016","True"
"20161001","2016-10-01","2016","4","10","Oct 2016","True"
"20161101","2016-11-01","2016","4","11","Nov 2016","True"
"20161201","2016-12-01","2016","4","12","Dec 2016","True"
