"clients_monthly_key","date_key","branch_key","observation_type","clients","clients_growth_mom","avg_balance_bob","disbursement_per_client_bob","clients_per_million_bob"
"20120301|BR_16_DE_JULIO|observed","20120301","BR_16_DE_JULIO","observed","18","","6101.85552222222","6101.85165","163.884575168671"
"20120401|BR_16_DE_JULIO|observed","20120401","BR_16_DE_JULIO","observed","79","3.38888888888889","6333.49871772152","5047.3810835443","157.89061379328"
"20120501|BR_16_DE_JULIO|observed","20120501","BR_16_DE_JULIO","observed","176","1.22784810126582","7078.77239431818","4374.14507897727","141.26743230262"
"20120601|BR_16_DE_JULIO|observed","20120601","BR_16_DE_JULIO","observed","275","0.5625","9291.09090909091","5079.27272727273","107.629987671474"
"20120701|BR_16_DE_JULIO|observed","20120701","BR_16_DE_JULIO","observed","381","0.385454545454545","10594.9343832021","4238.84514435696","94.3847280060049"
"20120801|BR_16_DE_JULIO|observed","20120801","BR_16_DE_JULIO","observed","500","0.312335958005249","12474.46","4918.8","80.1637906570705"
"20120901|BR_16_DE_JULIO|observed","20120901","BR_16_DE_JULIO","observed","634","0.268","12675.2050473186","3393.69085173502","78.8941872156574"
"20121001|BR_16_DE_JULIO|observed","20121001","BR_16_DE_JULIO","observed","790","0.246056782334385","13041.1772151899","3616.20253164557","76.6801940882482"
"20121101|BR_16_DE_JULIO|observed","20121101","BR_16_DE_JULIO","observed","899","0.137974683544304","13443.0812013348","2678.86540600667","74.3877080725144"
"20121201|BR_16_DE_JULIO|observed","20121201","BR_16_DE_JULIO","observed","982","0.0923248053392658","13688.0855397149","2134.11405295316","73.0562354464093"
"20130101|BR_16_DE_JULIO|observed","20130101","BR_16_DE_JULIO","observed","1059","0.0784114052953158","13805.656279509","2049.29178470255","72.4340791740737"
"20130201|BR_16_DE_JULIO|observed","20130201","BR_16_DE_JULIO","observed","1140","0.0764872521246458","13639.4473684211","1600.70175438596","73.3167534569814"
"20130301|BR_16_DE_JULIO|observed","20130301","BR_16_DE_JULIO","observed","1220","0.0701754385964912","13478.7950819672","1705.08196721311","74.1906078339201"
"20130401|BR_16_DE_JULIO|observed","20130401","BR_16_DE_JULIO","observed","1331","0.090983606557377","13583.3959429001","2227.42299023291","73.6192925689317"
"20130501|BR_16_DE_JULIO|observed","20130501","BR_16_DE_JULIO","observed","1406","0.0563486100676183","13617.2688477952","1707.39687055477","73.4361648563555"
"20130601|BR_16_DE_JULIO|observed","20130601","BR_16_DE_JULIO","observed","1450","0.0312944523470839","13538.3310344828","1437.79310344828","73.8643483789068"
"20130701|BR_16_DE_JULIO|observed","20130701","BR_16_DE_JULIO","observed","1492","0.0289655172413794","13683.5321715818","1694.70509383378","73.0805458313475"
"20130801|BR_16_DE_JULIO|observed","20130801","BR_16_DE_JULIO","observed","1526","0.0227882037533511","13867.378768021","1793.10615989515","72.1116814308167"
"20130901|BR_16_DE_JULIO|observed","20130901","BR_16_DE_JULIO","observed","1570","0.0288335517693317","14052.4777070064","1821.49681528662","71.1618278890002"
"20131001|BR_16_DE_JULIO|observed","20131001","BR_16_DE_JULIO","observed","1617","0.0299363057324842","14660.0247371676","2332.46753246753","68.2127089093307"
"20131101|BR_16_DE_JULIO|observed","20131101","BR_16_DE_JULIO","observed","1638","0.0129870129870129","15563.1868131868","2410.43956043956","64.2541924095322"
"20131201|BR_16_DE_JULIO|observed","20131201","BR_16_DE_JULIO","observed","1641","0.00183150183150182","16196.0694698355","1976.29494210847","61.7433755679092"
"20140101|BR_16_DE_JULIO|observed","20140101","BR_16_DE_JULIO","observed","1649","0.00487507617306515","16581.9769557307","1868.70830806549","60.3064400987724"
"20140201|BR_16_DE_JULIO|observed","20140201","BR_16_DE_JULIO","observed","1657","0.00485142510612491","16770.8569704285","1719.37235968618","59.6272451529023"
"20140301|BR_16_DE_JULIO|observed","20140301","BR_16_DE_JULIO","observed","1663","0.00362100181050096","16976.1395069152","1616.83704149128","58.9062077154026"
"20140401|BR_16_DE_JULIO|observed","20140401","BR_16_DE_JULIO","observed","1659","-0.00240529164161152","17569.1199517782","2189.93369499699","56.9180472752586"
"20140501|BR_16_DE_JULIO|observed","20140501","BR_16_DE_JULIO","observed","1666","0.00421940928270037","17890.3241296519","1919.44777911164","55.8961365234616"
"20140601|BR_16_DE_JULIO|observed","20140601","BR_16_DE_JULIO","observed","1667","0.000600240096038318","18383.8212357529","1932.33353329334","54.3956551348095"
"20140701|BR_16_DE_JULIO|observed","20140701","BR_16_DE_JULIO","observed","1685","0.0107978404319136","18540.646884273","1936.20178041543","53.9355506979772"
"20120501|BR_CEJA|observed","20120501","BR_CEJA","observed","12","","11184.8519333333","11184.8519333333","89.4066372948379"
"20120601|BR_CEJA|observed","20120601","BR_CEJA","observed","62","4.16666666666667","17122.5806451613","14991.935483871","58.4024114544084"
"20120701|BR_CEJA|observed","20120701","BR_CEJA","observed","115","0.854838709677419","17849.652173913","8845.21739130435","56.0235006406165"
"20120801|BR_CEJA|observed","20120801","BR_CEJA","observed","222","0.930434782608696","17463.6486486487","8531.53153153153","57.261802508686"
"20120901|BR_CEJA|observed","20120901","BR_CEJA","observed","365","0.644144144144144","16444.9863013699","6271.23287671233","60.8088071144638"
