"delinquency_monthly_key","date_key","branch_key","observation_type","overdue_kbob","mora_rate","risk_penalty"
"20120301|BR_16_DE_JULIO|observed","20120301","BR_16_DE_JULIO","observed","0","0","1"
"20120401|BR_16_DE_JULIO|observed","20120401","BR_16_DE_JULIO","observed","0","0","1"
"20120501|BR_16_DE_JULIO|observed","20120501","BR_16_DE_JULIO","observed","0","0","1"
"20120601|BR_16_DE_JULIO|observed","20120601","BR_16_DE_JULIO","observed","0","0","1"
"20120701|BR_16_DE_JULIO|observed","20120701","BR_16_DE_JULIO","observed","0","0","1"
"20120801|BR_16_DE_JULIO|observed","20120801","BR_16_DE_JULIO","observed","0","0","1"
"20120901|BR_16_DE_JULIO|observed","20120901","BR_16_DE_JULIO","observed","0","0","1"
"20121001|BR_16_DE_JULIO|observed","20121001","BR_16_DE_JULIO","observed","5.55","0.000538702629354149","0.973064868532293"
"20121101|BR_16_DE_JULIO|observed","20121101","BR_16_DE_JULIO","observed","-5.55","-0.000459234460291941","1"
"20121201|BR_16_DE_JULIO|observed","20121201","BR_16_DE_JULIO","observed","10.37","0.000771479797942224","0.961426010102889"
"20130101|BR_16_DE_JULIO|observed","20130101","BR_16_DE_JULIO","observed","3.62","0.000247602801331583","0.987619859933421"
"20130201|BR_16_DE_JULIO|observed","20130201","BR_16_DE_JULIO","observed","40.72","0.00261882298313007","0.869058850843496"
"20130301|BR_16_DE_JULIO|observed","20130301","BR_16_DE_JULIO","observed","41.04","0.00249572339795416","0.875213830102292"
"20130401|BR_16_DE_JULIO|observed","20130401","BR_16_DE_JULIO","observed","70.61","0.00390552836085069","0.804723581957466"
"20130501|BR_16_DE_JULIO|observed","20130501","BR_16_DE_JULIO","observed","58.12","0.00303564004370653","0.848217997814673"
"20130601|BR_16_DE_JULIO|observed","20130601","BR_16_DE_JULIO","observed","-10.68","-0.000544049131508086","1"
"20130701|BR_16_DE_JULIO|observed","20130701","BR_16_DE_JULIO","observed","18.66","0.000913996638882671","0.954300168055866"
"20130801|BR_16_DE_JULIO|observed","20130801","BR_16_DE_JULIO","observed","-12.49","-0.000590219463349214","1"
"20130901|BR_16_DE_JULIO|observed","20130901","BR_16_DE_JULIO","observed","-54.66","-0.0024775194346578","1"
"20131001|BR_16_DE_JULIO|observed","20131001","BR_16_DE_JULIO","observed","41.52","0.0017515100024214","0.91242449987893"
"20131101|BR_16_DE_JULIO|observed","20131101","BR_16_DE_JULIO","observed","-52.19","-0.00204726880455036","1"
"20131201|BR_16_DE_JULIO|observed","20131201","BR_16_DE_JULIO","observed","1.63","6.13294955366801e-05","0.996933525223166"
"20140101|BR_16_DE_JULIO|observed","20140101","BR_16_DE_JULIO","observed","-2.53","-9.25259511521492e-05","1"
"20140201|BR_16_DE_JULIO|observed","20140201","BR_16_DE_JULIO","observed","128.02","0.00460680743782411","0.769659628108794"
"20140301|BR_16_DE_JULIO|observed","20140301","BR_16_DE_JULIO","observed","74.3","0.00263182876323176","0.868408561838412"
"20140401|BR_16_DE_JULIO|observed","20140401","BR_16_DE_JULIO","observed","91.75","0.00314781846745327","0.842609076627336"
"20140501|BR_16_DE_JULIO|observed","20140501","BR_16_DE_JULIO","observed","136.45","0.00457804791634234","0.771097604182883"
"20140601|BR_16_DE_JULIO|observed","20140601","BR_16_DE_JULIO","observed","169.94","0.00554528952226127","0.722735523886937"
"20140701|BR_16_DE_JULIO|observed","20140701","BR_16_DE_JULIO","observed","311.13","0.00995903138792977","0.502048430603512"
"20120501|BR_CEJA|observed","20120501","BR_CEJA","observed","0","0","1"
"20120601|BR_CEJA|observed","20120601","BR_CEJA","observed","0","0","1"
"20120701|BR_CEJA|observed","20120701","BR_CEJA","observed","0","0","1"
"20120801|BR_CEJA|observed","20120801","BR_CEJA","observed","0","0","1"
"20120901|BR_CEJA|observed","20120901","BR_CEJA","observed","0","0","1"
"20121001|BR_CEJA|observed","20121001","BR_CEJA","observed","0","0","1"
"20121101|BR_CEJA|observed","20121101","BR_CEJA","observed","0","0","1"
"20121201|BR_CEJA|observed","20121201","BR_CEJA","observed","0","0","1"
"20130101|BR_CEJA|observed","20130101","BR_CEJA","observed","0","0","1"
"20130201|BR_CEJA|observed","20130201","BR_CEJA","observed","4.26","0.000274204324704265","0.986289783764787"
"20130301|BR_CEJA|observed","20130301","BR_CEJA","observed","0","0","1"
"20130401|BR_CEJA|observed","20130401","BR_CEJA","observed","3.48","0.000176141082933599","0.99119294585332"
"20130501|BR_CEJA|observed","20130501","BR_CEJA","observed","42.28","0.00200426736395703","0.899786631802148"
"20130601|BR_CEJA|observed","20130601","BR_CEJA","observed","29.31","0.00133883912461573","0.933058043769214"
"20130701|BR_CEJA|observed","20130701","BR_CEJA","observed","38.18","0.00161967364721404","0.919016317639298"
"20130801|BR_CEJA|observed","20130801","BR_CEJA","observed","-16.22","-0.000667469660376458","1"
"20130901|BR_CEJA|observed","20130901","BR_CEJA","observed","8.34","0.00032594345779892","0.983702827110054"
"20131001|BR_CEJA|observed","20131001","BR_CEJA","observed","25.51","0.000921578076918353","0.953921096154082"
"20131101|BR_CEJA|observed","20131101","BR_CEJA","observed","18.26","0.000627446129317128","0.968627693534144"
