"forecast_key","date_key","branch_key","model_key","model","forecast_kbob","lo80_kbob","hi80_kbob","lo95_kbob","hi95_kbob","rmse","mae","mape","selected_model"
"20140801|BR_16_DE_JULIO|MD_ARIMA","20140801","BR_16_DE_JULIO","MD_ARIMA","ARIMA","31856.1860395924","31168.9688731121","32543.4032060727","30805.1780801221","32907.1939990627","2277.59463898787","2043.12649494485","6.8617749281989","True"
"20140901|BR_16_DE_JULIO|MD_ARIMA","20140901","BR_16_DE_JULIO","MD_ARIMA","ARIMA","32667.2365251785","31319.5185395747","34014.9545107823","30606.0797335844","34728.3933167726","2277.59463898787","2043.12649494485","6.8617749281989","True"
"20141001|BR_16_DE_JULIO|MD_ARIMA","20141001","BR_16_DE_JULIO","MD_ARIMA","ARIMA","34248.468213257","32244.0465945181","36252.8898319959","31182.9698843682","37313.9665421457","2277.59463898787","2043.12649494485","6.8617749281989","True"
"20141101|BR_16_DE_JULIO|MD_ARIMA","20141101","BR_16_DE_JULIO","MD_ARIMA","ARIMA","35993.362002164","33360.8788795832","38625.8451247447","31967.3264926406","40019.3975116873","2277.59463898787","2043.12649494485","6.8617749281989","True"
"20141201|BR_16_DE_JULIO|MD_ARIMA","20141201","BR_16_DE_JULIO","MD_ARIMA","ARIMA","37049.5196805537","33826.4504306398","40272.5889304677","32120.2606328888","41978.7787282186","2277.59463898787","2043.12649494485","6.8617749281989","True"
"20150101|BR_16_DE_JULIO|MD_ARIMA","20150101","BR_16_DE_JULIO","MD_ARIMA","ARIMA","37795.4629295593","34020.7287654733","41570.1970936452","32022.5052025891","43568.4206565294","2277.59463898787","2043.12649494485","6.8617749281989","True"
"20150201|BR_16_DE_JULIO|MD_ARIMA","20150201","BR_16_DE_JULIO","MD_ARIMA","ARIMA","38227.3618076273","33938.0470707986","42516.6765444561","31667.4210072985","44787.3026079561","2277.59463898787","2043.12649494485","6.8617749281989","True"
"20150301|BR_16_DE_JULIO|MD_ARIMA","20150301","BR_16_DE_JULIO","MD_ARIMA","ARIMA","38659.9383729704","33889.9770223209","43429.8997236199","31364.912010962","45954.9647349789","2277.59463898787","2043.12649494485","6.8617749281989","True"
"20150401|BR_16_DE_JULIO|MD_ARIMA","20150401","BR_16_DE_JULIO","MD_ARIMA","ARIMA","39569.3074976372","34349.1222496305","44789.4927456438","31585.7231036901","47552.8918915843","2277.59463898787","2043.12649494485","6.8617749281989","True"
"20150501|BR_16_DE_JULIO|MD_ARIMA","20150501","BR_16_DE_JULIO","MD_ARIMA","ARIMA","40222.9650636497","34579.556020861","45866.3741064385","31592.1157312678","48853.8143960317","2277.59463898787","2043.12649494485","6.8617749281989","True"
