"stress_scenario_key","branch_key","scenario_key","branch","scenario","horizon_months","monthly_growth","client_growth","ending_portfolio_kbob","ending_clients","stressed_mora_rate","new_portfolio_kbob","risk_weighted_growth_kbob","risk_flag","development_read"
"BR_16_DE_JULIO|SC_CREDIT_TIGHTENING","BR_16_DE_JULIO","SC_CREDIT_TIGHTENING","16 de Julio","Credit tightening","12","0.01","0.008","35203.1294981026","1854.07069891171","0.00896312824913679","3962.13949810257","2186.48127497938","Green","Lower access expansion but more conservative risk posture."
"BR_16_DE_JULIO|SC_HIGH_GROWTH_RISK","BR_16_DE_JULIO","SC_HIGH_GROWTH_RISK","16 de Julio","High growth risk","12","0.06","0.035","62863.0098546497","2546.15068762862","0.0184242080676701","31622.0198546497","2491.4861885467","Amber","Fast outreach that requires stronger risk governance."
"BR_16_DE_JULIO|SC_MORA_SHOCK","BR_16_DE_JULIO","SC_MORA_SHOCK","16 de Julio","Mora shock","12","0.025","0.015","42015.6583093903","2014.61661891268","0.0273873363168069","10774.6683093903","0","Red","Stress case to test resilience of responsible finance."
"BR_16_DE_JULIO|SC_RESPONSIBLE_INCLUSION","BR_16_DE_JULIO","SC_RESPONSIBLE_INCLUSION","16 de Julio","Responsible inclusion","12","0.035","0.025","47207.2808134711","2266.13766885501","0.0109549345267227","15966.2908134711","7220.80728866155","Amber","Balanced outreach with controlled risk."
"BR_CEJA|SC_CREDIT_TIGHTENING","BR_CEJA","SC_CREDIT_TIGHTENING","Ceja","Credit tightening","12","0.01","0.008","43505.7904168706","2356.92548193999","0","4896.61041687064","4896.61041687064","Green","Lower access expansion but more conservative risk posture."
"BR_CEJA|SC_HIGH_GROWTH_RISK","BR_CEJA","SC_HIGH_GROWTH_RISK","Ceja","High growth risk","12","0.06","0.035","77689.2557764637","3236.7090640359","0","39080.0757764637","39080.0757764637","Green","Fast outreach that requires stronger risk governance."
"BR_CEJA|SC_MORA_SHOCK","BR_CEJA","SC_MORA_SHOCK","Ceja","Mora shock","12","0.025","0.015","51925.0546953137","2561.01412327061","0","13315.8746953137","13315.8746953137","Green","Stress case to test resilience of responsible finance."
"BR_CEJA|SC_RESPONSIBLE_INCLUSION","BR_CEJA","SC_RESPONSIBLE_INCLUSION","Ceja","Responsible inclusion","12","0.035","0.025","58341.1217838439","2880.75186153557","0","19731.9417838439","19731.9417838439","Green","Balanced outreach with controlled risk."
"BR_GLOBAL|SC_CREDIT_TIGHTENING","BR_GLOBAL","SC_CREDIT_TIGHTENING","Global","Credit tightening","12","0.01","0.008","78708.9199149732","4210.99618085169","0.00158378998934434","8858.74991497322","8157.22994330124","Green","Lower access expansion but more conservative risk posture."
"BR_GLOBAL|SC_HIGH_GROWTH_RISK","BR_GLOBAL","SC_HIGH_GROWTH_RISK","Global","High growth risk","12","0.06","0.035","140552.265631113","5782.85975166452","0.00325556831143002","70702.0956311135","59193.3205266961","Green","Fast outreach that requires stronger risk governance."
"BR_GLOBAL|SC_MORA_SHOCK","BR_GLOBAL","SC_MORA_SHOCK","Global","Mora shock","12","0.025","0.015","93940.713004704","4575.63074218329","0.00483935830077436","24090.543004704","18261.4045417052","Green","Stress case to test resilience of responsible finance."
"BR_GLOBAL|SC_RESPONSIBLE_INCLUSION","BR_GLOBAL","SC_RESPONSIBLE_INCLUSION","Global","Responsible inclusion","12","0.035","0.025","105548.402597315","5146.88953039058","0.00193574332030974","35698.232597315","32243.1018324592","Green","Balanced outreach with controlled risk."
