table,column,data_type,unit,role,description,status
dim_date,date_key,text,not applicable,key,Month key in YYYYMM format,COMPLETE
dim_date,date,date,month,attribute,Month date used for time intelligence,COMPLETE
dim_date,year,integer,year,attribute,Calendar year,COMPLETE
dim_date,quarter,text,quarter,attribute,Calendar quarter label,COMPLETE
dim_date,month,integer,month,attribute,Calendar month number,COMPLETE
dim_date,month_label,text,month,attribute,Readable month label,COMPLETE
dim_date,is_forecast_period,boolean,not applicable,attribute,Flags forecast horizon months,COMPLETE
dim_branch,branch_key,text,not applicable,key,Branch key,COMPLETE
dim_branch,branch,text,not applicable,attribute,Branch or portfolio scope,COMPLETE
dim_branch,branch_type,text,not applicable,attribute,Global total or branch unit,COMPLETE
dim_branch,geography_key,text,not applicable,key,Geography key,COMPLETE
dim_branch,active_flag,boolean,not applicable,attribute,Active branch flag for filtering,COMPLETE
dim_branch,privacy_level,text,not applicable,attribute,Public aggregation level,COMPLETE
dim_geography,geography_key,text,not applicable,key,Geography key,COMPLETE
dim_geography,geography_label,text,not applicable,attribute,Geographic label,COMPLETE
dim_geography,geography_level,text,not applicable,attribute,Geographic aggregation level,COMPLETE
dim_geography,country,text,not applicable,attribute,Country label,COMPLETE
dim_geography,note,text,not applicable,attribute,Geography note,COMPLETE
dim_model,model_key,text,not applicable,key,Forecast model key,COMPLETE
dim_model,model,text,not applicable,attribute,Forecast model name,COMPLETE
dim_model,model_family,text,not applicable,attribute,Forecast method family,COMPLETE
dim_model,selection_rule,text,not applicable,attribute,Model-selection note,COMPLETE
dim_scenario,scenario_key,text,not applicable,key,Stress scenario key,COMPLETE
dim_scenario,scenario,text,not applicable,attribute,Stress scenario name,COMPLETE
dim_scenario,scenario_family,text,not applicable,attribute,Scenario group,COMPLETE
dim_scenario,assumption_summary,text,not applicable,attribute,Scenario assumptions summary,COMPLETE
fact_portfolio_monthly,portfolio_monthly_key,text,not applicable,key,Portfolio fact key,COMPLETE
fact_portfolio_monthly,date_key,text,not applicable,foreign key,Date key,COMPLETE
fact_portfolio_monthly,branch_key,text,not applicable,foreign key,Branch key,COMPLETE
fact_portfolio_monthly,observation_type,text,not applicable,attribute,Observed or projected classification,COMPLETE
fact_portfolio_monthly,portfolio_kbob,decimal,thousand BOB,measure,Portfolio balance,COMPLETE
fact_portfolio_monthly,disbursements_kbob,decimal,thousand BOB,measure,Disbursements amount,COMPLETE
fact_portfolio_monthly,overdue_kbob,decimal,thousand BOB,measure,Overdue portfolio amount,COMPLETE
fact_portfolio_monthly,mora_rate,decimal,rate,measure,Delinquency rate from source output,COMPLETE
